,0,1,2
0,0.67517674,3.910432816,-3.068075895
1,-2.131074905,0.988690257,-5.263515949
2,4.873323917,1.562166452,5.818929672
3,0.310578495,0.316546142,1.303256273
4,5.039907932,0.345986277,7.402626514
5,1.542978287,-5.453745365,5.920192719
6,-0.042489558,-5.029544353,4.958681583
7,4.066477776,-2.585959435,-1.907726288
8,3.176745176,-4.048906803,4.825106144
9,4.334441662,-1.7717309,7.21730423
10,-3.962546825,-5.597109318,1.796910644
11,3.1555233,-2.02662158,5.000835896
12,-7.357587337,-2.27772069,-1.155823231
13,-4.311530113,-5.880769253,1.416077852
14,0.058220886,-1.317299247,2.867530823
15,5.354158878,-3.30789566,-0.049908951
16,3.933321238,-6.757469654,1.820132613
17,-8.526274681,0.88804996,-3.464853525
18,1.323373675,-1.892872214,2.482619047
19,3.319351435,-4.061767101,-2.385998011
20,-3.204447985,6.127690792,-0.546984196
21,4.521823406,-3.686730146,4.798400879
22,-2.285731316,-8.319937706,-1.289871216
23,-0.368845791,4.095023155,-5.042146206
24,2.608804226,-0.001196967,-2.190936089
25,2.455543518,-7.160870552,2.594562531
26,-3.508375883,-7.786701679,2.959818602
27,-0.440349281,4.104361534,2.859020472
28,-1.041736603,-7.151752472,2.289901495
29,-8.376457214,-1.15096128,-4.69037199
30,-4.691668987,-5.018455029,1.876720905
31,6.3520751,0.959991217,0.901301742
32,1.059078455,-7.108363152,1.279220223
33,5.405883312,-2.05991292,2.289812088
34,-4.255767822,2.385656357,-4.291346073
35,5.603176594,-2.096906185,-1.139381051
36,0.544971049,-1.128972292,2.895115376
37,-2.726932764,4.132647514,0.061013345
38,-2.778339863,-4.725029945,-1.341441631
39,2.175733328,-7.117432594,-1.169134617
40,8.975273132,-1.42085743,3.579360247
41,0.358231157,-10.34140205,-0.38488993
42,4.268743992,-1.413902164,1.714153886
43,-3.787127733,4.152813435,0.720180929
44,4.591684818,1.968424797,5.009449482
45,1.305443645,8.383940697,-2.231904745
46,2.229343176,8.163315773,-3.636193275
47,-0.961190343,-9.580271721,-1.664132833
48,5.479128838,4.350413799,1.037989974
49,0.38909629,-6.035544872,-2.400695324
50,1.697490454,3.330295563,-0.971116364
51,-2.380797148,-0.526876926,-4.717651844
52,2.016617537,6.502100945,0.479664743
53,-1.046334624,-1.371874809,-4.251480103
54,0.181354851,7.603663921,-1.461215973
55,-8.110146523,-0.738772035,-5.838327885
56,6.328485489,-0.312144309,7.967506409
57,-0.090559289,7.302357674,-0.286191136
58,0.048681859,-2.449780941,3.511301041
59,1.124353528,-7.533462048,3.587230921
60,0.924531519,-3.842495203,4.421253681
